模板id;机型
23518;iPhone7,1,,iPhone7,2
25262;iPhone7,1,,iPhone7,2
25266;iPhone7,1,,iPhone7,2
30751;iPhone7,1,,iPhone7,2
21901;iPhone7,1,,iPhone7,2
30754;iPhone7,1,,iPhone7,2
31115;iPhone7,1,,iPhone7,2
41389;iPhone7,1,,iPhone7,2
34399;iPhone7,1,,iPhone7,2
23444;iPhone7,1,,iPhone7,2
24396;iPhone7,1
38380;iPhone7,1,,iPhone7,2
23690;iPhone7,1,,iPhone7,2
43671;iPhone7,1,,iPhone7,2
28617;iPhone7,1,,iPhone7,2
31106;iPhone7,1,,iPhone7,2
24398;iPhone7,1
30334;iPhone7,1,,iPhone7,2
32873;iPhone7,1,,iPhone7,2
30336;iPhone7,1,,iPhone7,2
27147;iPhone7,1,,iPhone7,2
40255;iPhone7,1,,iPhone7,2
40256;iPhone7,1,,iPhone7,2
30333;iPhone7,1,,iPhone7,2
20969;iPhone7,1,,iPhone7,2,,OPPO_A37,,OPPO_A52,,OPPO_A83,,OPPO_R9s,,OPPO_PBFM00,,OPPO_PBFT00,,OPPO_R9s Plus,,VIVO_V1732A,,VIVO_V1732T,,VIVO_V1930A,,VIVO_V1930T,,VIVO_X9s,,VIVO_X9s L,,VIVO_Y51A,,VIVO_Y66i,,VIVO_Y66i A,,VIVO_Y71,,VIVO_Y71A,,VIVO_Y75,,VIVO_Y75A,,HONOR_BND-AL00,,HONOR_BND-TL10,,HONOR_BLN-TL00,,HONOR_BKK-AL00,,HONOR_BKK-AL10,,HONOR_LND-AL30,,HONOR_LND-AL40,,HONOR_LND-TL40
28580;iPhone7,1,,iPhone7,2
24656;iPhone7,1
28587;iPhone7,1,,iPhone7,2
28584;iPhone7,1,,iPhone7,2
39780;iPhone7,1,,iPhone7,2
39787;iPhone7,1,,iPhone7,2
40708;iPhone7,1,,iPhone7,2
40250;iPhone7,1,,iPhone7,2
40706;iPhone7,1,,iPhone7,2
38157;iPhone7,1,,iPhone7,2
30355;iPhone7,1,,iPhone7,2
33730;iPhone7,1,,iPhone7,2
27833;iPhone7,1,,iPhone7,2
24785;iPhone7,1,,iPhone7,2
41493;iPhone7,1,,iPhone7,2
28538;iPhone7,1,,iPhone7,2
8532;iPhone7,1,,iPhone7,2
29861;iPhone7,1,,iPhone7,2
34524;iPhone7,1,,iPhone7,2
26933;iPhone7,1,,iPhone7,2
28301;iPhone7,1,,iPhone7,2
30517;iPhone7,1,,iPhone7,2
28302;iPhone7,1,,iPhone7,2
27403;iPhone7,1,,iPhone7,2
29249;iPhone7,1,,iPhone7,2
30518;iPhone7,1,,iPhone7,2
30519;iPhone7,1,,iPhone7,2
38369;iPhone7,1,,iPhone7,2
25812;iPhone7,1,,iPhone7,2
26007;iPhone7,1,,iPhone7,2
26001;iPhone7,1,,iPhone7,2
19308;OPPO_A33t,,OPPO_A83,,VIVO_V1930A,,VIVO_V1930T,,VIVO_Y83,,VIVO_Y83A
27270;iPhone7,1,,iPhone7,2
27273;iPhone7,1,,iPhone7,2
26485;iPhone7,1,,iPhone7,2
38168;iPhone7,1,,iPhone7,2
27277;iPhone7,1,,iPhone7,2
27276;iPhone7,1,,iPhone7,2
39454;iPhone7,1,,iPhone7,2
40252;iPhone7,1,,iPhone7,2
46098;iPhone7,1,,iPhone7,2
30990;iPhone7,1,,iPhone7,2
21845;iPhone7,1,,iPhone7,2
28576;iPhone7,1,,iPhone7,2
26721;iPhone7,1,,iPhone7,2
41721;iPhone7,1,,iPhone7,2
26723;iPhone7,1,,iPhone7,2
29239;iPhone7,1,,iPhone7,2
23301;iPhone7,1,,iPhone7,2
26231;iPhone7,1,,iPhone7,2
22641;iPhone7,1,,iPhone7,2
22640;iPhone7,1,,iPhone7,2
26687;iPhone7,1,,iPhone7,2
26685;iPhone7,1,,iPhone7,2
29134;iPhone7,1,,iPhone7,2
24675;iPhone7,1
21745;iPhone7,1,,iPhone7,2
33679;iPhone7,1,,iPhone7,2
24103;iPhone7,1
32674;iPhone7,1,,iPhone7,2
24373;iPhone7,1,,iPhone7,2
24476;iPhone7,1
30353;iPhone7,1,,iPhone7,2
30356;iPhone7,1,,iPhone7,2
25507;iPhone7,1,,iPhone7,2
24470;iPhone7,1,,iPhone7,2
24471;iPhone7,1
26255;iPhone7,1,,iPhone7,2
26256;iPhone7,1,,iPhone7,2
26257;iPhone7,1,,iPhone7,2
